id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-1664070";"2022-01-13";"1";"Vente";"469500.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"13";"nan";"71";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2021-1707094";"2021-08-31";"1";"Vente";"285000.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"102";"nan";"4";"27.97";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"25.0";"1.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1707094";"2021-08-31";"1";"Vente";"285000.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"102";"nan";"4";"27.97";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1721529";"2021-05-10";"1";"Vente";"717000.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"21";"68.21";"82";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"68.0";"2.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1721529";"2021-05-10";"1";"Vente";"717000.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"138";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1721342";"2021-04-08";"1";"Vente";"515000.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"22";"49.02";"53";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"48.0";"2.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2021-1721342";"2021-04-08";"1";"Vente";"515000.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"122";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2021-1720645";"2021-02-23";"1";"Vente";"545000.0";"22";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0072";"None";"None";"32";"50.97";"38";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"50.0";"2.0";"None";"None";"None";"None";"None";"2.312621";"48.837053";"000CM"
"2021-1720422";"2021-02-05";"1";"Vente";"970500.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"10";"nan";"9";"94.02";"98";"None";"None";"None";"None";"None";"3";"2";"Appartement";"94.0";"4.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1720422";"2021-02-05";"1";"Vente";"970500.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"157";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2021-1720422";"2021-02-05";"1";"Vente";"970500.0";"16";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"156";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2020-824737";"2020-10-15";"1";"Vente";"806000.0";"14";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"30";"70.47";"75";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"71.0";"3.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
"2020-824737";"2020-10-15";"1";"Vente";"806000.0";"14";"None";"RUE ANDRE GIDE";"0324";"75015";"75115";"Paris 15e Arrondissement";"75";"None";"None";"75115000CM0074";"None";"None";"127";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"None";"2.31313";"48.83747";"000CM"
